V= -2.63460285050356262104e+01 ,I= inf
V= -2.62460285050356247893e+01 ,I= inf
V= -2.61460285050356233683e+01 ,I= inf
V= -2.60460285050356219472e+01 ,I= 1.70981953099876378133e+01
V= -2.59460285050356205261e+01 ,I= 1.62872307581095014939e+01
V= -2.58460285050356191050e+01 ,I= 1.55415158100490202742e+01
V= -2.57460285050356176839e+01 ,I= 1.48592774939120797484e+01
V= -2.56460285050356162628e+01 ,I= 1.42341122412695355592e+01
V= -2.55460285050356148417e+01 ,I= 1.36624139904822516911e+01
V= -2.54460285050356134207e+01 ,I= 1.31399528029735712664e+01
V= -2.53460285050356119996e+01 ,I= 1.26628940843981503406e+01
V= -2.52460285050356105785e+01 ,I= 1.22282220396336338553e+01
V= -2.51460285050356091574e+01 ,I= 1.18324428574772841927e+01
V= -2.50460285050356077363e+01 ,I= 1.14738228631143783787e+01
V= -2.49460285050356063152e+01 ,I= 1.11481470031572502677e+01
V= -2.48460285050356048941e+01 ,I= 1.08539557259305574632e+01
V= -2.47460285050356034731e+01 ,I= 1.05881930059638804664e+01
V= -2.46460285050356020520e+01 ,I= 1.03495290792313880956e+01
V= -2.45460285050356006309e+01 ,I= 1.01354008121664875830e+01
V= -2.44460285050355992098e+01 ,I= 9.94360994811922438430e+00
V= -2.43460285050355977887e+01 ,I= 9.77318552303721865826e+00
V= -2.42460285050355963676e+01 ,I= 9.62143068219380737105e+00
V= -2.41460285050355949465e+01 ,I= 9.48729193618517285813e+00
V= -2.40460285050355935255e+01 ,I= 9.36908389998292179257e+00
V= -2.39460285050355921044e+01 ,I= 9.26511265727078381360e+00
V= -2.38460285050355906833e+01 ,I= 9.17414469329458803770e+00
V= -2.37460285050355892622e+01 ,I= 9.09478458222652719201e+00
V= -2.36460285050355878411e+01 ,I= 9.02574483994643905760e+00
V= -2.35460285050355864200e+01 ,I= 8.96593968235222504859e+00
V= -2.34460285050355849990e+01 ,I= 8.91420594059522031216e+00
V= -2.33460285050355835779e+01 ,I= 8.86956949254457960308e+00
V= -2.32460285050355821568e+01 ,I= 8.83127333439392003811e+00
V= -2.31460285050355807357e+01 ,I= 8.79833611193975251297e+00
V= -2.30460285050355793146e+01 ,I= 8.77016737257537926098e+00
V= -2.29460285050355778935e+01 ,I= 8.74609314142565708039e+00
V= -2.28460285050355764724e+01 ,I= 8.72552622485369688832e+00
V= -2.27460285050355750514e+01 ,I= 8.70800978789037394279e+00
V= -2.26460285050355736303e+01 ,I= 8.69309628111217236324e+00
V= -2.25460285050355722092e+01 ,I= 8.68042591981328826023e+00
V= -2.24460285050355707881e+01 ,I= 8.66966391594732144199e+00
V= -2.23460285050355693670e+01 ,I= 8.66052280324833034797e+00
V= -2.22460285050355679459e+01 ,I= 8.65276257730725717465e+00
V= -2.21460285050355665248e+01 ,I= 8.64618939980224610053e+00
V= -2.20460285050355651038e+01 ,I= 8.64061966109248302814e+00
V= -2.19460285050355636827e+01 ,I= 8.63590194271293221107e+00
V= -2.18460285050355622616e+01 ,I= 8.63190474364617799097e+00
V= -2.17460285050355608405e+01 ,I= 8.62852192219186875377e+00
V= -2.16460285050355594194e+01 ,I= 8.62566317646959390686e+00
V= -2.15460285050355579983e+01 ,I= 8.62324294301655314143e+00
V= -2.14460285050355565772e+01 ,I= 8.62119656515438848032e+00
V= -2.13460285050355551562e+01 ,I= 8.61946417486441340827e+00
V= -2.12460285050355537351e+01 ,I= 8.61799905991169268304e+00
V= -2.11460285050355523140e+01 ,I= 8.61676143830551488634e+00
V= -2.10460285050355508929e+01 ,I= 8.61571536938216198109e+00
V= -2.09460285050355494718e+01 ,I= 8.61483094080780986701e+00
V= -2.08460285050355480507e+01 ,I= 8.61408260448169471601e+00
V= -2.07460285050355466296e+01 ,I= 8.61345145193256378491e+00
V= -2.06460285050355452086e+01 ,I= 8.61291718059655586615e+00
V= -2.05460285050355437875e+01 ,I= 8.61246542913044876855e+00
V= -2.04460285050355423664e+01 ,I= 8.61208420997299128885e+00
V= -2.03460285050355409453e+01 ,I= 8.61176173321101856573e+00
V= -2.02460285050355395242e+01 ,I= 8.61148924002640470121e+00
V= -2.01460285050355381031e+01 ,I= 8.61125890580938957442e+00
V= -2.00460285050355366820e+01 ,I= 8.61106426928360590978e+00
V= -1.99460285050355352610e+01 ,I= 8.61089987066288209405e+00
V= -1.98460285050355338399e+01 ,I= 8.61076085312869210497e+00
V= -1.97460285050355324188e+01 ,I= 8.61064354835097844898e+00
V= -1.96460285050355309977e+01 ,I= 8.61054419334157472576e+00
V= -1.95460285050355295766e+01 ,I= 8.61046044266585397509e+00
V= -1.94460285050355281555e+01 ,I= 8.61038958087060990465e+00
V= -1.93460285050355267344e+01 ,I= 8.61032963874172274643e+00
V= -1.92460285050355253134e+01 ,I= 8.61027904029394619556e+00
V= -1.91460285050355238923e+01 ,I= 8.61023623738819665618e+00
V= -1.90460285050355224712e+01 ,I= 8.61020014512116738103e+00
V= -1.89460285050355210501e+01 ,I= 8.61016954130087519559e+00
V= -1.88460285050355196290e+01 ,I= 8.61014372902197067106e+00
V= -1.87460285050355182079e+01 ,I= 8.61012188834237868207e+00
V= -1.86460285050355167868e+01 ,I= 8.61010346017794248041e+00
V= -1.85460285050355153658e+01 ,I= 8.61008785975964130444e+00
V= -1.84460285050355139447e+01 ,I= 8.61007466939531873606e+00
V= -1.83460285050355125236e+01 ,I= 8.61006350071114567868e+00
V= -1.82460285050355111025e+01 ,I= 8.61005406431396380640e+00
V= -1.81460285050355096814e+01 ,I= 8.61004608681665217773e+00
V= -1.80460285050355082603e+01 ,I= 8.61003933332806958845e+00
V= -1.79460285050355068392e+01 ,I= 8.61003362587094756009e+00
V= -1.78460285050355054182e+01 ,I= 8.61002878706316110424e+00
V= -1.77460285050355039971e+01 ,I= 8.61002469270902182075e+00
V= -1.76460285050355025760e+01 ,I= 8.61002121883211835041e+00
V= -1.75460285050355011549e+01 ,I= 8.61001828111094269502e+00
V= -1.74460285050354997338e+01 ,I= 8.61001578529459976608e+00
V= -1.73460285050354983127e+01 ,I= 8.61001366779740529012e+00
V= -1.72460285050354968917e+01 ,I= 8.61001186945021501629e+00
V= -1.71460285050354954706e+01 ,I= 8.61001034154578093194e+00
V= -1.70460285050354940495e+01 ,I= 8.61000904352081342097e+00
V= -1.69460285050354926284e+01 ,I= 8.61000793528188346215e+00
V= -1.68460285050354912073e+01 ,I= 8.61000698964062394225e+00
V= -1.67460285050354897862e+01 ,I= 8.61000618138202966634e+00
V= -1.66460285050354883651e+01 ,I= 8.61000548917513341962e+00
V= -1.65460285050354869441e+01 ,I= 8.61000489516583478178e+00
