 2019/5/7/9:0, 280455.701957094
 2019/5/7/9:1, 280490.12089398486
 2019/5/7/9:2, 280484.23092919774
 2019/5/7/9:3, 280484.23092919774
 2019/5/7/9:4, 280519.03650216066
 2019/5/7/9:5, 280548.50569491094
 2019/5/7/9:6, 280583.930562306
 2019/5/7/9:7, 280578.5127690888
 2019/5/7/9:8, 280608.4230869861
 2019/5/7/9:9, 280608.4230869861
 2019/5/7/9:10, 280685.7799273623
 2019/5/7/9:11, 280655.3440110552
 2019/5/7/9:12, 280691.36540318734
 2019/5/7/9:13, 280722.1400328374
 2019/5/7/9:14, 280758.68201349885
 2019/5/7/9:15, 280758.68201349885
 2019/5/7/9:16, 280794.85639387235
 2019/5/7/9:17, 280826.79389663885
 2019/5/7/9:18, 280826.79389663885
 2019/5/7/9:19, 280864.01144359686
 2019/5/7/9:20, 280864.01144359686
 2019/5/7/9:21, 280900.870061009
 2019/5/7/9:22, 280941.98389552254
 2019/5/7/9:23, 280979.0871270519
 2019/5/7/9:24, 280979.0871270519
 2019/5/7/9:25, 281016.36113768053
 2019/5/7/9:26, 281016.36113768053
 2019/5/7/9:27, 281012.5388539999
 2019/5/7/9:28, 281050.0990999556
 2019/5/7/9:29, 281050.0990999556
 2019/5/7/9:30, 281083.84359268396
 2019/5/7/9:31, 281125.69298382953
 2019/5/7/9:32, 281163.3210761188
 2019/5/7/9:33, 281163.3210761188
 2019/5/7/9:34, 281163.3210761188
 2019/5/7/9:35, 281160.0018398398
 2019/5/7/9:36, 281194.7496971384
 2019/5/7/9:37, 281265.52499539254
 2019/5/7/9:38, 281265.52499539254
 2019/5/7/9:39, 281223.6199874323
 2019/5/7/9:40, 281220.345475092
 2019/5/7/9:41, 281256.40883769706
 2019/5/7/9:42, 281253.33298841066
 2019/5/7/9:43, 281292.5674288615
 2019/5/7/9:44, 281295.5179147746
 2019/5/7/9:45, 281292.5674288615
 2019/5/7/9:46, 281334.7744981021
 2019/5/7/9:47, 281340.23282211996
 2019/5/7/9:48, 281340.23282211996
 2019/5/7/9:49, 281382.21200441057
 2019/5/7/9:50, 281343.16711648606
 2019/5/7/9:51, 281382.21200441057
 2019/5/7/9:52, 281416.33383519884
 2019/5/7/9:53, 281416.33383519884
 2019/5/7/9:54, 281453.65174354945
 2019/5/7/9:55, 281451.1828106924
 2019/5/7/9:56, 281491.0963518329
 2019/5/7/9:57, 281488.7848296337
 2019/5/7/9:58, 281488.7848296337
 2019/5/7/9:59, 281488.7848296337
 2019/5/7/10:0, 281486.74482392723
 2019/5/7/10:1, 281524.88156567374
 2019/5/7/10:2, 281524.88156567374
