G[2107]= 0.906000 T[2107]= 51.210000 I[2107]= 555.155000 V[2107]= 389.320000  Time[2107]= 2019/5/7/9:41
G[2108]= 0.906000 T[2108]= 51.310000 I[2108]= 558.058000 V[2108]= 388.750000  Time[2108]= 2019/5/7/9:42
G[2109]= 0.912000 T[2109]= 51.520000 I[2109]= 561.493000 V[2109]= 388.670000  Time[2109]= 2019/5/7/9:43
G[2110]= 0.912000 T[2110]= 51.420000 I[2110]= 563.189000 V[2110]= 388.310000  Time[2110]= 2019/5/7/9:44
G[2111]= 0.912000 T[2111]= 51.520000 I[2111]= 565.335000 V[2111]= 388.720000  Time[2111]= 2019/5/7/9:45
G[2112]= 0.918000 T[2112]= 51.630000 I[2112]= 568.132000 V[2112]= 387.990000  Time[2112]= 2019/5/7/9:46
G[2113]= 0.918000 T[2113]= 51.430000 I[2113]= 569.455000 V[2113]= 388.690000  Time[2113]= 2019/5/7/9:47
G[2114]= 0.918000 T[2114]= 51.430000 I[2114]= 570.612000 V[2114]= 389.210000  Time[2114]= 2019/5/7/9:48
G[2115]= 0.924000 T[2115]= 51.540000 I[2115]= 572.426000 V[2115]= 388.680000  Time[2115]= 2019/5/7/9:49
G[2116]= 0.918000 T[2116]= 51.330000 I[2116]= 572.541000 V[2116]= 388.170000  Time[2116]= 2019/5/7/9:50
G[2117]= 0.924000 T[2117]= 51.540000 I[2117]= 575.760000 V[2117]= 386.290000  Time[2117]= 2019/5/7/9:51
G[2118]= 0.930000 T[2118]= 51.950000 I[2118]= 576.400000 V[2118]= 387.630000  Time[2118]= 2019/5/7/9:52
G[2119]= 0.930000 T[2119]= 51.950000 I[2119]= 578.502000 V[2119]= 387.240000  Time[2119]= 2019/5/7/9:53
G[2120]= 0.936000 T[2120]= 52.260000 I[2120]= 584.671000 V[2120]= 385.630000  Time[2120]= 2019/5/7/9:54
G[2121]= 0.936000 T[2121]= 52.360000 I[2121]= 581.230000 V[2121]= 386.830000  Time[2121]= 2019/5/7/9:55
G[2122]= 0.942000 T[2122]= 52.570000 I[2122]= 590.830000 V[2122]= 382.550000  Time[2122]= 2019/5/7/9:56
G[2123]= 0.942000 T[2123]= 52.670000 I[2123]= 591.500000 V[2123]= 383.760000  Time[2123]= 2019/5/7/9:57
G[2124]= 0.942000 T[2124]= 52.670000 I[2124]= 592.594000 V[2124]= 382.610000  Time[2124]= 2019/5/7/9:58
G[2125]= 0.942000 T[2125]= 52.670000 I[2125]= 594.478000 V[2125]= 381.420000  Time[2125]= 2019/5/7/9:59
G[2126]= 0.942000 T[2126]= 52.770000 I[2126]= 598.372000 V[2126]= 379.720000  Time[2126]= 2019/5/7/10:0
G[2127]= 0.948000 T[2127]= 53.080000 I[2127]= 595.464000 V[2127]= 383.990000  Time[2127]= 2019/5/7/10:1
G[2128]= 0.948000 T[2128]= 53.080000 I[2128]= 596.605000 V[2128]= 383.290000  Time[2128]= 2019/5/7/10:2
G[2129]= 0.948000 T[2129]= 52.980000 I[2129]= 597.409000 V[2129]= 382.980000  Time[2129]= 2019/5/7/10:3
G[2130]= 0.942000 T[2130]= 52.770000 I[2130]= 596.674000 V[2130]= 382.980000  Time[2130]= 2019/5/7/10:4
G[2131]= 0.948000 T[2131]= 53.080000 I[2131]= 599.261000 V[2131]= 383.730000  Time[2131]= 2019/5/7/10:5
G[2132]= 0.954000 T[2132]= 53.290000 I[2132]= 605.218000 V[2132]= 381.470000  Time[2132]= 2019/5/7/10:6
G[2133]= 0.948000 T[2133]= 53.080000 I[2133]= 606.252000 V[2133]= 380.390000  Time[2133]= 2019/5/7/10:7
