7.68000000000000000000e+02, 4.52800000000000011369e+01, 4.73567000000000007276e+02, 3.97250000000000000000e+02, 2019/5/7/9:0, 5.09411323617538300823e+02, 3.85092147333199079640e+02
7.74000000000000000000e+02, 4.54900000000000019895e+01, 4.76083000000000026830e+02, 3.97180000000000006821e+02, 2019/5/7/9:1, 5.13299227296493427275e+02, 3.84817536725447268964e+02
7.74000000000000000000e+02, 4.55900000000000034106e+01, 4.77512000000000000455e+02, 3.96790000000000020464e+02, 2019/5/7/9:2, 5.13273228641654327475e+02, 3.84642844586857791001e+02
7.74000000000000000000e+02, 4.55900000000000034106e+01, 4.80485000000000013642e+02, 3.95790000000000020464e+02, 2019/5/7/9:3, 5.13273228641654327475e+02, 3.84642844586857791001e+02
7.80000000000000000000e+02, 4.57999999999999971578e+01, 4.81454000000000007731e+02, 3.95920000000000015916e+02, 2019/5/7/9:4, 5.17153555215748383489e+02, 3.84372932825780935673e+02
7.86000000000000000000e+02, 4.61099999999999994316e+01, 4.83151999999999986812e+02, 3.95939999999999997726e+02, 2019/5/7/9:5, 5.21009083125165489037e+02, 3.83926454597748943343e+02
7.92000000000000000000e+02, 4.63200000000000002842e+01, 4.84812000000000011823e+02, 3.95819999999999993179e+02, 2019/5/7/9:6, 5.24895938310362339507e+02, 3.83649810486036585644e+02
7.92000000000000000000e+02, 4.64200000000000017053e+01, 4.85166999999999973170e+02, 3.95779999999999972715e+02, 2019/5/7/9:7, 5.24856119905430432482e+02, 3.83485216713462705229e+02
7.98000000000000000000e+02, 4.67299999999999968736e+01, 4.85043000000000006366e+02, 3.95720000000000027285e+02, 2019/5/7/9:8, 5.28713561497859473093e+02, 3.83034537786821829286e+02
7.98000000000000000000e+02, 4.67299999999999968736e+01, 4.88598000000000013188e+02, 3.94740000000000009095e+02, 2019/5/7/9:9, 5.28713561497859473093e+02, 3.83034537786821829286e+02
8.10000000000000000000e+02, 4.70499999999999971578e+01, 4.91678999999999973625e+02, 3.95980000000000018190e+02, 2019/5/7/9:10, 5.36482748763103813872e+02, 3.82672981332507902152e+02
8.04000000000000000000e+02, 4.67400000000000019895e+01, 4.94358999999999980446e+02, 3.95730000000000018190e+02, 2019/5/7/9:11, 5.32629509278315481424e+02, 3.83122627436955212943e+02
8.10000000000000000000e+02, 4.69500000000000028422e+01, 4.97673999999999978172e+02, 3.95240000000000009095e+02, 2019/5/7/9:12, 5.36507621795943009602e+02, 3.82849317054971095331e+02
8.16000000000000000000e+02, 4.72599999999999980105e+01, 5.00918999999999982720e+02, 3.94790000000000020464e+02, 2019/5/7/9:13, 5.40351008282054294796e+02, 3.82405700895261645655e+02
8.22000000000000000000e+02, 4.74699999999999988631e+01, 5.01711999999999989086e+02, 3.95250000000000000000e+02, 2019/5/7/9:14, 5.44221354104800525420e+02, 3.82135905659789102629e+02
8.22000000000000000000e+02, 4.74699999999999988631e+01, 5.02639999999999986358e+02, 3.94839999999999974989e+02, 2019/5/7/9:15, 5.44221354104800525420e+02, 3.82135905659789102629e+02
8.28000000000000000000e+02, 4.76799999999999997158e+01, 5.05874000000000023647e+02, 3.95459999999999979536e+02, 2019/5/7/9:16, 5.48092988424528812175e+02, 3.81863462985863236554e+02
8.34000000000000000000e+02, 4.79900000000000019895e+01, 5.07045000000000015916e+02, 3.95889999999999986358e+02, 2019/5/7/9:17, 5.51938704278029604211e+02, 3.81415261571273049412e+02
8.34000000000000000000e+02, 4.79900000000000019895e+01, 5.08742000000000018645e+02, 3.95139999999999986358e+02, 2019/5/7/9:18, 5.51938704278029604211e+02, 3.81415261571273049412e+02
8.40000000000000000000e+02, 4.82000000000000028422e+01, 5.12095000000000027285e+02, 3.94329999999999984084e+02, 2019/5/7/9:19, 5.55815132946357948640e+02, 3.81138357870169784292e+02
8.40000000000000000000e+02, 4.82000000000000028422e+01, 5.12908000000000015461e+02, 3.95069999999999993179e+02, 2019/5/7/9:20, 5.55815132946357948640e+02, 3.81138357870169784292e+02
8.46000000000000000000e+02, 4.84099999999999965894e+01, 5.16633000000000038199e+02, 3.94860000000000013642e+02, 2019/5/7/9:21, 5.59668732804967589800e+02, 3.80875387516022215095e+02
8.52000000000000000000e+02, 4.85200000000000031264e+01, 5.19150999999999953616e+02, 3.95689999999999997726e+02, 2019/5/7/9:22, 5.63561441676112508503e+02, 3.80777322110128636723e+02
8.58000000000000000000e+02, 4.87299999999999968736e+01, 5.20532000000000039108e+02, 3.96279999999999972715e+02, 2019/5/7/9:23, 5.67428460242060396013e+02, 3.80503307460118605832e+02
8.58000000000000000000e+02, 4.87299999999999968736e+01, 5.23232999999999947249e+02, 3.95560000000000002274e+02, 2019/5/7/9:24, 5.67428460242060396013e+02, 3.80503307460118605832e+02
8.64000000000000000000e+02, 4.89399999999999977263e+01, 5.25898000000000024556e+02, 3.95550000000000011369e+02, 2019/5/7/9:25, 5.71291151566408302642e+02, 3.80231255063629987490e+02
8.64000000000000000000e+02, 4.89399999999999977263e+01, 5.26299999999999954525e+02, 3.95699999999999988631e+02, 2019/5/7/9:26, 5.71291151566408302642e+02, 3.80231255063629987490e+02
8.64000000000000000000e+02, 4.90399999999999991473e+01, 5.28062000000000011823e+02, 3.96189999999999997726e+02, 2019/5/7/9:27, 5.71262764375004167050e+02, 3.80057971206482363868e+02
8.70000000000000000000e+02, 4.92500000000000000000e+01, 5.29419999999999959073e+02, 3.96180000000000006821e+02, 2019/5/7/9:28, 5.75126653002354487398e+02, 3.79784149156303101336e+02
8.70000000000000000000e+02, 4.92500000000000000000e+01, 5.32427999999999997272e+02, 3.95769999999999981810e+02, 2019/5/7/9:29, 5.75126653002354487398e+02, 3.79784149156303101336e+02
8.76000000000000000000e+02, 4.95600000000000022737e+01, 5.33456000000000017280e+02, 3.95660000000000025011e+02, 2019/5/7/9:30, 5.78964933791814246433e+02, 3.79333695720748437452e+02
8.82000000000000000000e+02, 4.96700000000000017053e+01, 5.37331000000000017280e+02, 3.94620000000000004547e+02, 2019/5/7/9:31, 5.82845513398285106632e+02, 3.79239556540740693436e+02
8.88000000000000000000e+02, 4.98800000000000025580e+01, 5.39284999999999968168e+02, 3.94569999999999993179e+02, 2019/5/7/9:32, 5.86708962818207737655e+02, 3.78962718081304899442e+02
8.88000000000000000000e+02, 4.98800000000000025580e+01, 5.40303999999999973625e+02, 3.94689999999999997726e+02, 2019/5/7/9:33, 5.86708962818207737655e+02, 3.78962718081304899442e+02
8.88000000000000000000e+02, 4.98800000000000025580e+01, 5.41245999999999980901e+02, 3.95060000000000002274e+02, 2019/5/7/9:34, 5.86708962818207737655e+02, 3.78962718081304899442e+02
8.88000000000000000000e+02, 4.99799999999999968736e+01, 5.44456000000000017280e+02, 3.93459999999999979536e+02, 2019/5/7/9:35, 5.86684353416271051174e+02, 3.78786893373254713424e+02
8.94000000000000000000e+02, 5.02899999999999991473e+01, 5.47807000000000016371e+02, 3.91600000000000022737e+02, 2019/5/7/9:36, 5.90508010388597767815e+02, 3.78343120482740459920e+02
9.06000000000000000000e+02, 5.09099999999999965894e+01, 5.50697000000000002728e+02, 3.91920000000000015916e+02, 2019/5/7/9:37, 5.98176536259068370782e+02, 3.77439274478924630785e+02
9.06000000000000000000e+02, 5.09099999999999965894e+01, 5.49760999999999967258e+02, 3.92180000000000006821e+02, 2019/5/7/9:38, 5.98176536259068370782e+02, 3.77439274478924630785e+02
9.00000000000000000000e+02, 5.07999999999999971578e+01, 5.51216999999999984539e+02, 3.91550000000000011369e+02, 2019/5/7/9:39, 5.94290483940243120742e+02, 3.77541302183081654675e+02
9.00000000000000000000e+02, 5.08999999999999985789e+01, 5.52538999999999987267e+02, 3.91379999999999995453e+02, 2019/5/7/9:40, 5.94267894845508863000e+02, 3.77363861247417446521e+02
9.06000000000000000000e+02, 5.12100000000000008527e+01, 5.55154999999999972715e+02, 3.89319999999999993179e+02, 2019/5/7/9:41, 5.98095895445706560167e+02, 3.76915544405942284811e+02
