8.60999965667724609375e+00, 6.17500007152557373047e-01, 8.15999984741210937500e+00, 4.90333348512649536133e-01, 2.98149999999999977263e+02, 6.66989949248854863129e+00, 2.99726015493272726631e-02, 1.10250000000000019946e-11, 1.67693538707751699235e+00, 8.33128230819111195160e+03, 5.13574209386105889045e-06, 8.60999965667727096275e+00, 1.03505585431670765750e+00
6.66343815180798770825e+00, 5.68215246403487750371e-01, 6.16591931988394925668e+00, 4.50739248333933140156e-01, 3.18429999999999949978e+02, 4.35808271330105068131e+00, 5.61928095559587337249e-02, 3.21874519845793887795e-07, 1.64992998599729689957e+00, 2.40196459714581668377e+07, 2.36098715667031646944e-05, 6.66343815292657648541e+00, 8.74085437613272731028e-01
6.71602806073689517774e+00, 5.68029522265422803784e-01, 6.21096960601800152091e+00, 4.50600503718594225244e-01, 3.18639999999999986358e+02, 4.38150136645827359416e+00, 5.65891758137969450027e-02, 1.76617798914988821175e-06, 1.65263052610531890885e+00, 1.10894080190228000283e+07, 2.45911249869645669435e-05, 6.71602806716681310917e+00, 8.67627758959555128726e-01
6.71628129805494644700e+00, 5.67829131817403576221e-01, 6.21018929730722213378e+00, 4.50439184051543983767e-01, 3.18740000000000009095e+02, 4.37713566303074053110e+00, 5.66900764986708674553e-02, 7.79405406241615751611e-07, 1.65293058611732135432e+00, 8.06662593492342624813e+06, 2.48544300689381607913e-05, 6.71628130092147035413e+00, 8.66097814353973927126e-01
6.76888141499977624704e+00, 5.67641356639579597321e-01, 6.25518842635312388722e+00, 4.50299058487869829914e-01, 3.18949999999999988631e+02, 4.40032552823304357048e+00, 5.70888065289081175768e-02, 1.81566979397982573899e-06, 1.65563112622534336360e+00, 6.06190822045943513513e+06, 2.58829806409540371986e-05, 6.76888142199325937298e+00, 8.59619728620869549829e-01
6.82174694035856266083e+00, 5.67251085989673775600e-01, 6.29934741435397604903e+00, 4.49996252422333486987e-01, 3.19259999999999990905e+02, 4.41887161270972672611e+00, 5.75914259836520295299e-02, 1.42894681384863836638e-06, 1.65863172634536781835e+00, 1.31094229160870779306e+07, 2.72369815019083987733e-05, 6.82174694617832333421e+00, 8.51582463793060018276e-01
6.87436551025524966718e+00, 5.67059374260803439327e-01, 6.34425210193682875826e+00, 4.49853424858425499089e-01, 3.19469999999999970441e+02, 4.44164619733808674340e+00, 5.79941646495944623796e-02, 1.73713282894688344727e-06, 1.66133226645338982763e+00, 7.59602019559620618820e+08, 2.83553690543105411232e-05, 6.87436551765980752293e+00, 8.45070909491160260352e-01
6.87462463681325530729e+00, 5.66858738584274046701e-01, 6.34344645235567217156e+00, 4.49692105191375257611e-01, 3.19569999999999993179e+02, 4.43713841142625309288e+00, 5.80970345350978883969e-02, 6.23654485155336756429e-07, 1.66163232646539227311e+00, 1.34706552591492384672e+07, 2.86558254443267375702e-05, 6.87462463949862456758e+00, 8.43516087097481159773e-01
6.92751450436385507459e+00, 5.66464342086871908144e-01, 6.38748542123929397007e+00, 4.49386636033343500607e-01, 3.19879999999999995453e+02, 4.45512471128287756983e+00, 5.86056321600114393799e-02, 2.71814058789633304186e-06, 1.66433286657341428239e+00, 1.28331253998703346588e+06, 3.00753002699795917850e-05, 6.92751451672515372593e+00, 8.35735952036686935429e-01
7.03253570535889149795e+00, 5.66272137472876191389e-01, 6.47787661855209684347e+00, 4.49255765810596618959e-01, 3.20199999999999988631e+02, 4.50420680551551644299e+00, 5.93173836527733921997e-02, 2.79946135129722018786e-06, 1.66943388677745585547e+00, 2.77795365406025107950e+06, 3.22317791156058767663e-05, 7.03253571914441977242e+00, 8.24195119030990408504e-01
